patternID,endDate,actualReturn,mean,variance,median,upside,downside,#searchResults
SP500,2002-08-21,-0.0331697,0.0002627,0.0003995,0.0019922,0.0175073,-0.0197288,600
SP500,2010-09-27,-0.0044915,0.0003080,0.0002460,0.0021050,0.0143220,-0.0175894,600
SP500,2009-11-09,0.0148389,0.0002789,0.0005055,0.0013899,0.0197260,-0.0197989,600
SP500,2001-07-19,-0.0099504,0.0012092,0.0002974,0.0022312,0.0156542,-0.0165323,600
SP500,2007-01-12,-0.0054378,0.0010729,0.0002120,0.0018185,0.0138905,-0.0130136,600
SP500,2001-05-01,-0.0041376,0.0015804,0.0003766,0.0022100,0.0195345,-0.0163230,600
SP500,2005-10-21,0.0159548,-0.0000427,0.0002240,0.0015362,0.0134184,-0.0162436,600
SP500,2005-09-08,-0.0031990,0.0010668,0.0002289,0.0033607,0.0141337,-0.0158011,600
SP500,2002-11-18,0.0361078,0.0013713,0.0004520,0.0018916,0.0204988,-0.0181620,600
SP500,2001-10-16,-0.0116260,0.0004517,0.0002791,0.0024977,0.0148094,-0.0168158,600
SP500,2011-05-13,-0.0033638,0.0015981,0.0002486,0.0027241,0.0166601,-0.0152756,600
SP500,2003-11-11,-0.0118673,0.0012652,0.0002307,0.0024838,0.0154237,-0.0147826,600
SP500,2006-10-31,0.0035561,-0.0002078,0.0002315,0.0012159,0.0142364,-0.0166180,600
SP500,2008-09-25,-0.0784830,0.0025672,0.0005538,0.0044422,0.0225208,-0.0191494,600
SP500,2003-11-05,0.0063890,0.0013098,0.0002966,0.0023491,0.0168228,-0.0168225,600
SP500,2003-09-09,0.0060107,0.0011681,0.0002894,0.0023422,0.0157369,-0.0162882,600
SP500,2000-07-07,0.0210156,0.0023387,0.0001975,0.0029988,0.0149898,-0.0115602,600
SP500,2003-12-26,0.0240261,0.0018426,0.0002276,0.0038289,0.0152629,-0.0149933,600
SP500,2004-01-05,0.0044644,0.0032242,0.0002264,0.0044193,0.0154380,-0.0117336,600
SP500,2000-02-25,0.0568564,0.0011523,0.0007541,0.0029347,0.0252328,-0.0241929,600
SP500,2011-06-29,0.0350387,0.0000656,0.0002546,0.0019046,0.0138845,-0.0174400,600
SP500,2003-10-31,0.0023793,0.0021324,0.0002068,0.0036549,0.0151154,-0.0133337,600
SP500,2000-06-07,-0.0005573,0.0016099,0.0004122,0.0031024,0.0207694,-0.0189096,600
SP500,2001-03-21,0.0277595,0.0009959,0.0005177,-0.0007220,0.0249169,-0.0203768,600
SP500,2010-11-30,0.0365931,0.0008316,0.0002696,0.0018272,0.0174036,-0.0178701,600
SP500,2004-02-02,0.0040079,0.0015745,0.0003070,0.0023016,0.0186889,-0.0166330,600
SP500,2000-10-26,0.0468177,0.0004843,0.0004220,0.0013485,0.0208256,-0.0195761,600
SP500,2011-07-28,-0.0773448,0.0029596,0.0003962,0.0032033,0.0222552,-0.0165668,600
SP500,2007-02-12,0.0183554,0.0019442,0.0002333,0.0020950,0.0173264,-0.0137730,600
SP500,2005-06-21,-0.0099208,0.0017955,0.0002061,0.0035844,0.0143585,-0.0139276,600
SP500,2011-04-20,0.0226405,0.0020179,0.0002673,0.0037362,0.0159717,-0.0154389,600
SP500,2000-05-30,0.0248796,0.0031657,0.0006350,0.0049862,0.0251433,-0.0241429,600
SP500,2010-06-07,0.0372786,0.0017586,0.0004636,0.0014862,0.0239423,-0.0196681,600
SP500,2004-07-15,-0.0089004,0.0016024,0.0002455,0.0018031,0.0170845,-0.0148988,600
SP500,2001-05-08,-0.0093245,0.0018387,0.0002196,0.0028841,0.0152998,-0.0133516,600
SP500,2005-04-13,-0.0309170,0.0002211,0.0002411,0.0015630,0.0141013,-0.0157298,600
SP500,2000-01-24,-0.0050445,0.0027245,0.0003817,0.0020288,0.0232761,-0.0163381,600
SP500,2001-07-23,0.0113263,0.0005535,0.0002660,0.0010540,0.0172900,-0.0162951,600
SP500,2007-11-30,0.0158797,0.0005018,0.0003362,0.0012609,0.0163675,-0.0173889,600
SP500,2005-06-29,-0.0016502,0.0022034,0.0003799,0.0029653,0.0191499,-0.0176654,600
