searchType,similarity,Pattern L,Projection L,searchResults,TP_median1,TN_median1,FP_median1,FN_median1,HR_median1,TP_unc1,TN_unc1,FP_unc1,FN_unc1,HR_unc1,TP_median2,TN_median2,FP_median2,FN_median2,HR_median2,TP_unc2,TN_unc2,FP_unc2,FN_unc2,HR_unc2,r_mean,p_mean,r_median,p_median,rs_mean,ps_mean,rs_median,ps_median,MSE_mean,MAE_mean,MSE_median,MAE_median,num_forecasts,DecileSpread,VigSpread,PerSpread
0,2,6,5,100,16,0,10,0,0.61538,16,0,10,0,0.61538,16,0,10,0,0.61538,16,0,10,0,0.61538,0.25693,0.10257,-0.0060024,0.51161,0.12068,0.27776,0.024307,0.45309,0.36191,0.52475,0.37439,0.52872,26,0.2615,-0.92745,NaN
0,2,6,6,100,14,0,11,0,0.56,14,0,11,0,0.56,14,0,11,0,0.56,14,0,11,0,0.56,0.32986,0.053666,0.18204,0.1919,0.11846,0.28566,0.27973,0.087826,0.3653,0.53489,0.37468,0.54793,25,0.49596,-0.30414,NaN
0,2,6,7,100,15,0,9,0,0.625,15,0,9,0,0.625,15,0,9,0,0.625,15,0,9,0,0.625,0.23125,0.13846,0.059297,0.39157,0.090435,0.33669,0.0092027,0.48298,0.3689,0.532,0.33846,0.49724,24,0.30738,-0.31872,NaN
0,2,6,8,100,15,0,8,0,0.65217,15,0,8,0,0.65217,15,0,8,0,0.65217,15,0,8,0,0.65217,0.11792,0.29603,0.076835,0.36375,-0.057312,0.6042,0.013196,0.47617,0.39077,0.53547,0.28798,0.4235,23,-0.58717,-0.96832,NaN
0,2,6,9,100,16,0,6,0,0.72727,16,0,6,0,0.72727,16,0,6,0,0.72727,16,0,6,0,0.72727,0.12137,0.29528,-0.14931,0.74639,-0.042349,0.57588,-0.03689,0.56474,0.42218,0.55369,0.23687,0.38894,22,-0.1632,-0.19714,NaN
0,2,6,10,100,16,0,5,0,0.7619,16,0,5,0,0.7619,16,0,5,0,0.7619,16,0,5,0,0.7619,-0.0052199,0.50896,-0.28354,0.89353,-0.16104,0.75983,-0.19069,0.79616,0.47377,0.59481,0.23971,0.41398,21,-0.4584,-0.73838,NaN
0,2,6,11,100,18,0,2,0,0.9,18,0,2,0,0.9,18,0,2,0,0.9,18,0,2,0,0.9,-0.059121,0.59777,-0.18438,0.78177,-0.2391,0.84728,-0.17154,0.76521,0.5755,0.63784,0.23448,0.42391,20,-0.26724,-0.17021,NaN
0,2,6,12,100,19,0,0,0,1,19,0,0,0,1,19,0,0,0,1,19,0,0,0,1,-0.38019,0.94583,-0.49998,0.98537,-0.36316,0.93747,-0.35604,0.93269,0.75165,0.70467,0.24588,0.43652,19,-0.36205,NaN,NaN
0,2,7,1,100,18,0,11,0,0.62069,18,0,11,0,0.62069,18,0,11,0,0.62069,18,0,11,0,0.62069,0.11298,0.27977,-0.0020553,0.50422,-0.0059113,0.51273,-0.048799,0.59924,0.063061,0.19148,0.053483,0.17287,29,0.17583,0.61444,NaN
0,2,7,2,100,15,0,13,0,0.53571,15,0,13,0,0.53571,15,0,13,0,0.53571,15,0,13,0,0.53571,0.15842,0.21037,-0.0025181,0.50507,0.14669,0.22734,0.18045,0.17908,0.17475,0.32083,0.17156,0.29307,28,0.55653,0.79557,NaN
0,2,7,3,100,15,0,12,0,0.55556,15,0,12,0,0.55556,15,0,12,0,0.55556,15,0,12,0,0.55556,0.22035,0.1347,-0.08097,0.65597,0.15201,0.2237,0.1569,0.21723,0.27968,0.42861,0.31521,0.42415,27,0.77876,0.81426,NaN
0,2,7,4,100,13,0,13,0,0.5,13,0,13,0,0.5,13,0,13,0,0.5,13,0,13,0,0.5,0.25436,0.10493,-0.083161,0.65685,0.19111,0.17404,0.053917,0.39682,0.38216,0.5302,0.43011,0.53803,26,1.265,0.77636,NaN
0,2,7,5,100,15,0,10,0,0.6,15,0,10,0,0.6,15,0,10,0,0.6,15,0,10,0,0.6,0.34069,0.047804,0.17038,0.20775,0.27308,0.092996,0.21645,0.14934,0.34576,0.50857,0.3774,0.53472,25,1.4812,1.4505,NaN
0,2,7,6,100,13,0,11,0,0.54167,13,0,11,0,0.54167,13,0,11,0,0.54167,13,0,11,0,0.54167,0.23191,0.13776,0.22504,0.1452,0.26783,0.1025,0.37482,0.035566,0.37323,0.54613,0.36292,0.53568,24,1.1569,1.2961,NaN
0,2,7,7,100,14,0,9,0,0.6087,14,0,9,0,0.6087,14,0,9,0,0.6087,14,0,9,0,0.6087,0.12932,0.27823,0.25571,0.11947,0.23221,0.14248,0.17,0.21903,0.37532,0.53607,0.33223,0.49061,23,0.70703,0.8509,NaN
0,2,7,8,100,14,0,8,0,0.63636,14,0,8,0,0.63636,14,0,8,0,0.63636,14,0,8,0,0.63636,0.071637,0.3757,-0.11565,0.69585,-0.019763,0.5361,0.067848,0.38209,0.38981,0.53095,0.33208,0.47108,22,0.77082,0.64736,NaN
0,2,7,9,100,15,0,6,0,0.71429,15,0,6,0,0.71429,15,0,6,0,0.71429,15,0,6,0,0.71429,0.022456,0.46152,-0.15808,0.75314,-0.077922,0.63371,-0.11035,0.68303,0.40835,0.54021,0.25071,0.40887,21,0.08865,-0.49122,NaN
0,2,7,10,100,15,0,5,0,0.75,15,0,5,0,0.75,15,0,5,0,0.75,15,0,5,0,0.75,-0.043491,0.57223,-0.28973,0.89234,-0.2015,0.80551,-0.23898,0.84488,0.43433,0.57319,0.24737,0.4195,20,-0.46162,-0.68325,NaN
0,2,7,11,100,17,0,2,0,0.89474,17,0,2,0,0.89474,17,0,2,0,0.89474,17,0,2,0,0.89474,-0.19664,0.79012,-0.25667,0.8556,-0.27018,0.87049,-0.24193,0.84083,0.54449,0.62088,0.25412,0.43937,19,-0.41474,NaN,NaN
0,2,7,12,100,18,0,0,0,1,18,0,0,0,1,18,0,0,0,1,18,0,0,0,1,-0.38625,0.94332,-0.516,0.98581,-0.36636,0.93346,-0.35799,0.92767,0.63733,0.6588,0.24307,0.43204,18,-0.36858,NaN,NaN
0,2,8,1,100,18,0,10,0,0.64286,18,0,10,0,0.64286,18,0,10,0,0.64286,18,0,10,0,0.64286,0.23753,0.11179,0.035159,0.42951,0.10181,0.30245,0.028217,0.44333,0.053839,0.17857,0.05425,0.1736,28,0.37343,0.61444,NaN
0,2,8,2,100,14,0,13,0,0.51852,14,0,13,0,0.51852,14,0,13,0,0.51852,14,0,13,0,0.51852,0.24228,0.11169,0.15995,0.21274,0.21673,0.13813,0.24135,0.11261,0.16175,0.30595,0.17302,0.29441,27,0.68197,0.84568,NaN
0,2,8,3,100,14,0,12,0,0.53846,14,0,12,0,0.53846,14,0,12,0,0.53846,14,0,12,0,0.53846,0.27634,0.085885,0.16338,0.21258,0.20479,0.15706,0.27234,0.089156,0.27239,0.41921,0.30683,0.41904,26,0.99161,0.74326,NaN
0,2,8,4,100,12,0,13,0,0.48,12,0,13,0,0.48,12,0,13,0,0.48,12,0,13,0,0.48,0.37491,0.032405,0.14373,0.24654,0.29692,0.074645,0.19076,0.18052,0.37144,0.51732,0.42765,0.53996,25,1.3118,1.69,NaN
0,2,8,5,100,14,0,10,0,0.58333,14,0,10,0,0.58333,14,0,10,0,0.58333,14,0,10,0,0.58333,0.29146,0.083511,0.30686,0.072354,0.3113,0.069323,0.34603,0.04883,0.34782,0.51609,0.35684,0.51643,24,1.0957,1.512,NaN
0,2,8,6,100,12,0,11,0,0.52174,12,0,11,0,0.52174,12,0,11,0,0.52174,12,0,11,0,0.52174,0.17895,0.20698,0.42407,0.021866,0.3251,0.065123,0.57676,0.0019819,0.37508,0.55062,0.36306,0.53382,23,0.89934,1.0177,NaN
0,2,8,7,100,13,0,9,0,0.59091,13,0,9,0,0.59091,13,0,9,0,0.59091,13,0,9,0,0.59091,0.13708,0.27149,0.28052,0.10302,0.26143,0.11944,0.15577,0.24439,0.37038,0.53118,0.34563,0.51069,22,0.85135,1.1622,NaN
